created_at,id,lng,lat,topic,sentiment,stance,gender,temperature_avg,aggressiveness,text,statement_about_future,
2008-08-23 11:22:25+00:00,896419415,,,Global stance,0.03110802173614502,believer,male,,not aggressive,study to predict climate change.: academics in perth are leading an international project to predict how.. LINK,n,
2009-03-02 16:43:30+00:00,1269828860,-80.84313,35.22709000000001,Weather Extremes,-0.14807295908927917,neutral,male,-8.607292999999999,not aggressive,sure could use some global warming about now.,n,
2009-03-28 04:53:04+00:00,1405580107,-95.99277000000001,36.153980000000004,Weather Extremes,-0.31946544153690337,denier,male,-8.1944,aggressive,please bring on the global warming.  tulsa is going to have 3-6 of snow by saturday morning.,y,
2009-03-31 09:18:00+00:00,1423385472,0.0088,50.87398,Global stance,0.38038505613803864,believer,female,0.20842588,not aggressive,american corporates get antsy about climate change - go for it i say (tho' seeing will be believing...) LINK # sustainability,n,
2009-06-12 03:39:09+00:00,2126584065,,,Weather Extremes,-0.7244529102563858,denier,male,,aggressive,"i'm not a greenie. don't care much about global warming, but i hate my energy dollars going to people who want us dead.",n,
2009-06-24 10:11:18+00:00,2308595742,,,Politics,-0.006152641773223916,neutral,male,,not aggressive,drinks at parli house with the wongster. i'm thinking that before too long those canapes will be contributing to climate change.,y,
2009-08-05 12:14:58+00:00,3144137284,,,Impact of Resource Overconsumption,-0.6462866944074631,believer,male,,aggressive,"it's so serious, it's so morally weighted that it could kill a novel.  ian mcewan's next subject: climate change  LINK",n,
2009-08-27 15:27:15+00:00,3581115301,,,Global stance,-0.06942670047283173,believer,male,,not aggressive,bbc: protecting societies against impacts of climate change will be much more expensive than the un believes...LINK,y,
2009-09-09 01:34:48+00:00,3853804975,,,Global stance,0.4108918458223343,believer,male,,aggressive,climate change - water resources will be significantly impacted on extremes from floods to drought,y,
2009-11-09 02:04:31+00:00,5547623470,,,Importance of Human Intervantion,0.7713228578805924,believer,male,,aggressive,"amazing climate change video! LINK to quote catherine porter, mama bears, let's step up for our cubs' future'!!!",n,
2009-11-28 19:24:19+00:00,6148553911,,,Global stance,-0.38546206057071686,neutral,male,,aggressive,"munich re, insurance giant, says #climatechange could cost billions LINK #climate #cop15",y,
